464180000000000	3.2306E-08
605830000000000	5.371E-08
759060000000000	9.484E-08
960940000000000	1.8877E-07
1.2166E+015	4.111E-07
1556100000000000	8.688E-07
1833700000000000	1.581E-06
2160800000000000	2.7097E-06
2494600000000000	4.645E-06
3125700000000000	8.707E-06
3608200000000000	1.3239E-05
4.081E+015	2.0743E-05
4760100000000000	3.664E-05
5609200000000000	6.47E-05
6279800000000000	0.00010447
7477100000000000	0.00021431
8721000000000000	0.0003673
1.0069E+016	0.0006685
1.1388E+016	0.0010475
1.2881E+016	0.0017426
1.518E+016	0.0032677
1.7526E+016	0.005772
1.9423E+016	0.010196
2.2662E+016	0.0243
2.5898E+016	0.04423
2.7832E+016	0.06931
3.0529E+016	0.11532
3.3493E+016	0.21631
3.6366E+016	0.3709
3.9085E+016	0.6359
4.1575E+016	0.9671
