7939500000000000	0.0006825
8166900000000000	0.0007208
8532500000000001	0.000834
8998500000000000	0.0010008
9.4608E+015	0.0011579
9.8231E+015	0.0012917
1.00086E+016	0.0014151
1.04242E+016	0.0016077
1.09249E+016	0.0018944
1.14501E+016	0.0021918
1.19991E+016	0.0026788
1.26156E+016	0.0030993
1.33886E+016	0.003719
1.42091E+016	0.0044625
1.47515E+016	0.0052587
1.54114E+016	0.006197
1.65117E+016	0.0073
1.71426E+016	0.008447
1.81358E+016	0.010136
1.88288E+016	0.011729
2.01089E+016	0.014073
2.11413E+016	0.016582
2.2155E+016	0.020267
2.34404E+016	0.023447
2.47967E+016	0.029183
2.60717E+016	0.033152
2.72359E+016	0.040519
2.89961E+016	0.048619
3.05808E+016	0.05729
3.2251E+016	0.06874
3.4441E+016	0.08556
3.5983E+016	0.09899
3.7476E+016	0.11454
3.9401E+016	0.13251
4.1164E+016	0.15615
4.3141E+016	0.18399
4.5499E+016	0.21679
4.7836E+016	0.25082
4.966E+016	0.30103
5.2374E+016	0.35469
5.5759E+016	0.4256
5.8624E+016	0.4924
6.1246E+016	0.5802
6.3988E+016	0.6713
6.6851E+016	0.7911
6.9405E+016	0.9153
